item,price,quantity,date,channel,cost_percent,delivery_commission
Nasi lemak biasa,5.00,19,2026-03-25,dine-in,0.35,
Nasi lemak biasa,5.00,15,2026-03-26,dine-in,0.35,
Nasi lemak biasa,5.00,19,2026-03-27,dine-in,0.35,
Nasi lemak biasa,5.00,19,2026-03-28,dine-in,0.35,
Nasi lemak biasa,5.00,22,2026-03-29,dine-in,0.35,
Nasi lemak biasa,5.00,13,2026-03-30,dine-in,0.35,
Nasi lemak salted egg,12.00,12,2026-03-15,dine-in,0.52,
Nasi lemak salted egg,12.00,9,2026-03-16,dine-in,0.52,
Nasi lemak salted egg,12.00,11,2026-03-17,dine-in,0.52,
Nasi lemak salted egg,12.00,12,2026-03-18,dine-in,0.52,
Nasi lemak salted egg,12.00,12,2026-03-19,dine-in,0.52,
Nasi lemak salted egg,12.00,13,2026-03-20,dine-in,0.52,
Nasi lemak salted egg,12.00,12,2026-03-21,dine-in,0.52,
Nasi lemak salted egg,12.00,15,2026-03-22,dine-in,0.52,
Nasi lemak salted egg,12.00,12,2026-03-23,dine-in,0.52,
Nasi lemak salted egg,12.00,11,2026-03-24,dine-in,0.52,
Nasi lemak salted egg,12.00,13,2026-03-25,dine-in,0.52,
Nasi lemak salted egg,12.00,11,2026-03-26,dine-in,0.52,
Nasi lemak salted egg,12.00,12,2026-03-27,dine-in,0.52,
Nasi lemak salted egg,12.00,15,2026-03-28,dine-in,0.52,
Nasi lemak salted egg,12.00,12,2026-03-29,dine-in,0.52,
Nasi lemak salted egg,12.00,12,2026-03-30,dine-in,0.52,
Mee goreng,7.00,12,2026-03-01,dine-in,0.38,
Mee goreng,7.00,10,2026-03-02,dine-in,0.38,
Mee goreng,7.00,10,2026-03-03,dine-in,0.38,
Mee goreng,7.00,10,2026-03-04,dine-in,0.38,
Mee goreng,7.00,10,2026-03-05,dine-in,0.38,
Mee goreng,7.00,10,2026-03-06,dine-in,0.38,
Mee goreng,7.00,11,2026-03-07,dine-in,0.38,
Mee goreng,7.00,12,2026-03-08,dine-in,0.38,
Mee goreng,7.00,8,2026-03-09,dine-in,0.38,
Mee goreng,7.00,10,2026-03-10,dine-in,0.38,
Mee goreng,7.00,11,2026-03-11,dine-in,0.38,
Mee goreng,7.00,11,2026-03-12,dine-in,0.38,
Mee goreng,7.00,11,2026-03-13,dine-in,0.38,
Mee goreng,7.00,13,2026-03-14,dine-in,0.38,
Mee goreng,7.00,11,2026-03-15,dine-in,0.38,
Mee goreng,7.00,9,2026-03-16,dine-in,0.38,
Mee goreng,7.00,9,2026-03-17,dine-in,0.38,
Mee goreng,7.00,9,2026-03-18,dine-in,0.38,
Mee goreng,7.00,11,2026-03-19,dine-in,0.38,
Mee goreng,7.00,9,2026-03-20,dine-in,0.38,
Mee goreng,7.00,12,2026-03-21,dine-in,0.38,
Mee goreng,7.00,13,2026-03-22,dine-in,0.38,
Mee goreng,7.00,7,2026-03-23,dine-in,0.38,
Mee goreng,7.00,10,2026-03-24,dine-in,0.38,
Mee goreng,7.00,11,2026-03-25,dine-in,0.38,
Mee goreng,7.00,9,2026-03-26,dine-in,0.38,
Mee goreng,7.00,11,2026-03-27,dine-in,0.38,
Mee goreng,7.00,10,2026-03-28,dine-in,0.38,
Mee goreng,7.00,12,2026-03-29,dine-in,0.38,
Mee goreng,7.00,9,2026-03-30,dine-in,0.38,
Teh tarik,2.50,21,2026-03-01,dine-in,0.25,
Teh tarik,2.50,17,2026-03-02,dine-in,0.25,
Teh tarik,2.50,18,2026-03-03,dine-in,0.25,
Teh tarik,2.50,21,2026-03-04,dine-in,0.25,
Teh tarik,2.50,19,2026-03-05,dine-in,0.25,
Teh tarik,2.50,18,2026-03-06,dine-in,0.25,
Teh tarik,2.50,24,2026-03-07,dine-in,0.25,
Teh tarik,2.50,26,2026-03-08,dine-in,0.25,
Teh tarik,2.50,16,2026-03-09,dine-in,0.25,
Teh tarik,2.50,22,2026-03-10,dine-in,0.25,
Teh tarik,2.50,19,2026-03-11,dine-in,0.25,
Teh tarik,2.50,18,2026-03-12,dine-in,0.25,
Teh tarik,2.50,22,2026-03-13,dine-in,0.25,
Teh tarik,2.50,22,2026-03-14,dine-in,0.25,
Teh tarik,2.50,20,2026-03-15,dine-in,0.25,
Teh tarik,2.50,18,2026-03-16,dine-in,0.25,
Teh tarik,2.50,21,2026-03-17,dine-in,0.25,
Teh tarik,2.50,22,2026-03-18,dine-in,0.25,
Teh tarik,2.50,22,2026-03-19,dine-in,0.25,
Teh tarik,2.50,18,2026-03-20,dine-in,0.25,
Teh tarik,2.50,24,2026-03-21,dine-in,0.25,
Teh tarik,2.50,23,2026-03-22,dine-in,0.25,
Teh tarik,2.50,15,2026-03-23,dine-in,0.25,
Teh tarik,2.50,17,2026-03-24,dine-in,0.25,
Teh tarik,2.50,21,2026-03-25,dine-in,0.25,
Teh tarik,2.50,21,2026-03-26,dine-in,0.25,
Teh tarik,2.50,19,2026-03-27,dine-in,0.25,
Teh tarik,2.50,21,2026-03-28,dine-in,0.25,
Teh tarik,2.50,22,2026-03-29,dine-in,0.25,
Teh tarik,2.50,15,2026-03-30,dine-in,0.25,
Milo dinosaur,5.00,8,2026-03-01,grabfood,0.54,0.30
Milo dinosaur,5.00,7,2026-03-02,grabfood,0.54,0.30
Milo dinosaur,5.00,7,2026-03-03,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-04,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-05,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-06,grabfood,0.54,0.30
Milo dinosaur,5.00,9,2026-03-07,dine-in,0.54,0.30
Milo dinosaur,5.00,10,2026-03-08,dine-in,0.54,0.30
Milo dinosaur,5.00,7,2026-03-09,grabfood,0.54,0.30
Milo dinosaur,5.00,8,2026-03-10,grabfood,0.54,0.30
Milo dinosaur,5.00,7,2026-03-11,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-12,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-13,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-14,grabfood,0.54,0.30
Milo dinosaur,5.00,9,2026-03-15,dine-in,0.54,0.30
Milo dinosaur,5.00,6,2026-03-16,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-17,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-18,dine-in,0.54,0.30
Milo dinosaur,5.00,9,2026-03-19,grabfood,0.54,0.30
Milo dinosaur,5.00,9,2026-03-20,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-21,grabfood,0.54,0.30
Milo dinosaur,5.00,9,2026-03-22,grabfood,0.54,0.30
Milo dinosaur,5.00,8,2026-03-23,dine-in,0.54,0.30
Milo dinosaur,5.00,7,2026-03-24,grabfood,0.54,0.30
Milo dinosaur,5.00,9,2026-03-25,dine-in,0.54,0.30
Milo dinosaur,5.00,8,2026-03-26,grabfood,0.54,0.30
Milo dinosaur,5.00,9,2026-03-27,dine-in,0.54,0.30
Milo dinosaur,5.00,10,2026-03-28,grabfood,0.54,0.30
Milo dinosaur,5.00,10,2026-03-29,dine-in,0.54,0.30
Milo dinosaur,5.00,6,2026-03-30,dine-in,0.54,0.30
Roti bakar,3.50,8,2026-03-01,dine-in,0.22,
Roti bakar,3.50,6,2026-03-02,dine-in,0.22,
Roti bakar,3.50,8,2026-03-03,dine-in,0.22,
Roti bakar,3.50,8,2026-03-04,dine-in,0.22,
Roti bakar,3.50,8,2026-03-05,dine-in,0.22,
Roti bakar,3.50,7,2026-03-06,dine-in,0.22,
Roti bakar,3.50,9,2026-03-07,dine-in,0.22,
Roti bakar,3.50,9,2026-03-08,dine-in,0.22,
Roti bakar,3.50,6,2026-03-09,dine-in,0.22,
Roti bakar,3.50,7,2026-03-10,dine-in,0.22,
Roti bakar,3.50,7,2026-03-11,dine-in,0.22,
Roti bakar,3.50,8,2026-03-12,dine-in,0.22,
Roti bakar,3.50,7,2026-03-13,dine-in,0.22,
Roti bakar,3.50,8,2026-03-14,dine-in,0.22,
Roti bakar,3.50,9,2026-03-15,dine-in,0.22,
Roti bakar,3.50,6,2026-03-16,dine-in,0.22,
Roti bakar,3.50,7,2026-03-17,dine-in,0.22,
Roti bakar,3.50,8,2026-03-18,dine-in,0.22,
Roti bakar,3.50,6,2026-03-19,dine-in,0.22,
Roti bakar,3.50,7,2026-03-20,dine-in,0.22,
Roti bakar,3.50,7,2026-03-21,dine-in,0.22,
Roti bakar,3.50,7,2026-03-22,dine-in,0.22,
Roti bakar,3.50,6,2026-03-23,dine-in,0.22,
Roti bakar,3.50,7,2026-03-24,dine-in,0.22,
Roti bakar,3.50,8,2026-03-25,dine-in,0.22,
Roti bakar,3.50,8,2026-03-26,dine-in,0.22,
Roti bakar,3.50,7,2026-03-27,dine-in,0.22,
Roti bakar,3.50,9,2026-03-28,dine-in,0.22,
Roti bakar,3.50,7,2026-03-29,dine-in,0.22,
Roti bakar,3.50,6,2026-03-30,dine-in,0.22,
Nasi goreng kampung,7.50,8,2026-03-01,dine-in,0.40,
Nasi goreng kampung,7.50,6,2026-03-02,dine-in,0.40,
Nasi goreng kampung,7.50,7,2026-03-03,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-04,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-05,dine-in,0.40,
Nasi goreng kampung,7.50,9,2026-03-06,dine-in,0.40,
Nasi goreng kampung,7.50,10,2026-03-07,dine-in,0.40,
Nasi goreng kampung,7.50,10,2026-03-08,dine-in,0.40,
Nasi goreng kampung,7.50,6,2026-03-09,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-10,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-11,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-12,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-13,dine-in,0.40,
Nasi goreng kampung,7.50,9,2026-03-14,dine-in,0.40,
Nasi goreng kampung,7.50,9,2026-03-15,dine-in,0.40,
Nasi goreng kampung,7.50,6,2026-03-16,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-17,dine-in,0.40,
Nasi goreng kampung,7.50,7,2026-03-18,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-19,dine-in,0.40,
Nasi goreng kampung,7.50,7,2026-03-20,dine-in,0.40,
Nasi goreng kampung,7.50,9,2026-03-21,dine-in,0.40,
Nasi goreng kampung,7.50,9,2026-03-22,dine-in,0.40,
Nasi goreng kampung,7.50,7,2026-03-23,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-24,dine-in,0.40,
Nasi goreng kampung,7.50,7,2026-03-25,dine-in,0.40,
Nasi goreng kampung,7.50,7,2026-03-26,dine-in,0.40,
Nasi goreng kampung,7.50,7,2026-03-27,dine-in,0.40,
Nasi goreng kampung,7.50,10,2026-03-28,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-29,dine-in,0.40,
Nasi goreng kampung,7.50,8,2026-03-30,dine-in,0.40,
Teh O ais,2.00,15,2026-03-01,dine-in,0.20,
Teh O ais,2.00,11,2026-03-02,dine-in,0.20,
Teh O ais,2.00,11,2026-03-03,dine-in,0.20,
Teh O ais,2.00,14,2026-03-04,dine-in,0.20,
Teh O ais,2.00,11,2026-03-05,dine-in,0.20,
Teh O ais,2.00,12,2026-03-06,dine-in,0.20,
Teh O ais,2.00,14,2026-03-07,dine-in,0.20,
Teh O ais,2.00,16,2026-03-08,dine-in,0.20,
Teh O ais,2.00,11,2026-03-09,dine-in,0.20,
Teh O ais,2.00,11,2026-03-10,dine-in,0.20,
Teh O ais,2.00,15,2026-03-11,dine-in,0.20,
Teh O ais,2.00,14,2026-03-12,dine-in,0.20,
Teh O ais,2.00,14,2026-03-13,dine-in,0.20,
Teh O ais,2.00,16,2026-03-14,dine-in,0.20,
Teh O ais,2.00,15,2026-03-15,dine-in,0.20,
Teh O ais,2.00,12,2026-03-16,dine-in,0.20,
Teh O ais,2.00,13,2026-03-17,dine-in,0.20,
Teh O ais,2.00,12,2026-03-18,dine-in,0.20,
Teh O ais,2.00,11,2026-03-19,dine-in,0.20,
Teh O ais,2.00,11,2026-03-20,dine-in,0.20,
Teh O ais,2.00,13,2026-03-21,dine-in,0.20,
Teh O ais,2.00,14,2026-03-22,dine-in,0.20,
Teh O ais,2.00,12,2026-03-23,dine-in,0.20,
Teh O ais,2.00,14,2026-03-24,dine-in,0.20,
Teh O ais,2.00,13,2026-03-25,dine-in,0.20,
Teh O ais,2.00,15,2026-03-26,dine-in,0.20,
Teh O ais,2.00,11,2026-03-27,dine-in,0.20,
Teh O ais,2.00,14,2026-03-28,dine-in,0.20,
Teh O ais,2.00,14,2026-03-29,dine-in,0.20,
Teh O ais,2.00,10,2026-03-30,dine-in,0.20,
Maggi goreng,6.00,6,2026-03-01,dine-in,0.35,
Maggi goreng,6.00,4,2026-03-02,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-03,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-04,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-05,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-06,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-07,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-08,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-09,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-10,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-11,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-12,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-13,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-14,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-15,dine-in,0.35,
Maggi goreng,6.00,4,2026-03-16,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-17,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-18,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-19,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-20,dine-in,0.35,
Maggi goreng,6.00,7,2026-03-21,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-22,dine-in,0.35,
Maggi goreng,6.00,4,2026-03-23,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-24,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-25,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-26,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-27,dine-in,0.35,
Maggi goreng,6.00,6,2026-03-28,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-29,dine-in,0.35,
Maggi goreng,6.00,5,2026-03-30,dine-in,0.35,
Kuih-muih,1.50,11,2026-03-01,dine-in,0.45,
Kuih-muih,1.50,8,2026-03-02,dine-in,0.45,
Kuih-muih,1.50,10,2026-03-03,dine-in,0.45,
Kuih-muih,1.50,11,2026-03-04,dine-in,0.45,
Kuih-muih,1.50,10,2026-03-05,dine-in,0.45,
Kuih-muih,1.50,11,2026-03-06,dine-in,0.45,
Kuih-muih,1.50,12,2026-03-07,dine-in,0.45,
Kuih-muih,1.50,10,2026-03-08,dine-in,0.45,
Kuih-muih,1.50,8,2026-03-09,dine-in,0.45,
Kuih-muih,1.50,11,2026-03-10,dine-in,0.45,
Kuih-muih,1.50,10,2026-03-11,dine-in,0.45,
Kuih-muih,1.50,9,2026-03-12,dine-in,0.45,
Kuih-muih,1.50,10,2026-03-13,dine-in,0.45,
Kuih-muih,1.50,12,2026-03-14,dine-in,0.45,
Kuih-muih,1.50,12,2026-03-15,dine-in,0.45,
Kuih-muih,1.50,9,2026-03-16,dine-in,0.45,
Kuih-muih,1.50,9,2026-03-17,dine-in,0.45,
Kuih-muih,1.50,11,2026-03-18,dine-in,0.45,
Kuih-muih,1.50,11,2026-03-19,dine-in,0.45,
Kuih-muih,1.50,10,2026-03-20,dine-in,0.45,
Kuih-muih,1.50,11,2026-03-21,dine-in,0.45,
Kuih-muih,1.50,10,2026-03-22,dine-in,0.45,
Kuih-muih,1.50,8,2026-03-23,dine-in,0.45,
Kuih-muih,1.50,11,2026-03-24,dine-in,0.45,
Kuih-muih,1.50,11,2026-03-25,dine-in,0.45,
Kuih-muih,1.50,10,2026-03-26,dine-in,0.45,
Kuih-muih,1.50,10,2026-03-27,dine-in,0.45,
Kuih-muih,1.50,12,2026-03-28,dine-in,0.45,
Kuih-muih,1.50,12,2026-03-29,dine-in,0.45,
Kuih-muih,1.50,9,2026-03-30,dine-in,0.45,
Air sirap,2.00,7,2026-03-01,dine-in,0.15,
Air sirap,2.00,5,2026-03-02,dine-in,0.15,
Air sirap,2.00,6,2026-03-03,dine-in,0.15,
Air sirap,2.00,6,2026-03-04,dine-in,0.15,
Air sirap,2.00,7,2026-03-05,dine-in,0.15,
Air sirap,2.00,8,2026-03-06,dine-in,0.15,
Air sirap,2.00,9,2026-03-07,dine-in,0.15,
Air sirap,2.00,8,2026-03-08,dine-in,0.15,
Air sirap,2.00,5,2026-03-09,dine-in,0.15,
Air sirap,2.00,6,2026-03-10,dine-in,0.15,
Air sirap,2.00,7,2026-03-11,dine-in,0.15,
Air sirap,2.00,7,2026-03-12,dine-in,0.15,
Air sirap,2.00,7,2026-03-13,dine-in,0.15,
Air sirap,2.00,9,2026-03-14,dine-in,0.15,
Air sirap,2.00,8,2026-03-15,dine-in,0.15,
Air sirap,2.00,7,2026-03-16,dine-in,0.15,
Air sirap,2.00,8,2026-03-17,dine-in,0.15,
Air sirap,2.00,7,2026-03-18,dine-in,0.15,
Air sirap,2.00,6,2026-03-19,dine-in,0.15,
Air sirap,2.00,7,2026-03-20,dine-in,0.15,
Air sirap,2.00,7,2026-03-21,dine-in,0.15,
Air sirap,2.00,8,2026-03-22,dine-in,0.15,
Air sirap,2.00,6,2026-03-23,dine-in,0.15,
Air sirap,2.00,6,2026-03-24,dine-in,0.15,
Air sirap,2.00,7,2026-03-25,dine-in,0.15,
Air sirap,2.00,7,2026-03-26,dine-in,0.15,
Air sirap,2.00,7,2026-03-27,dine-in,0.15,
Air sirap,2.00,8,2026-03-28,dine-in,0.15,
Air sirap,2.00,7,2026-03-29,dine-in,0.15,
Air sirap,2.00,6,2026-03-30,dine-in,0.15,
